ZINC00006310,Nc1ccc(cc1)S(=O)(=O)c1ccc(cc1)N
ZINC00006369,Fc1ccc2c(c1)[nH]cc2/C=C/c1ccncc1
ZINC00006427,Clc1ccc2c(c1)C(=NCC(=O)N2C)c1ccccc1
ZINC00006481,Nc1nc2c(s1)cc(cc2)OC(F)(F)F
ZINC00006486,O=S(=O)(c1cccc2c1ccnc2)N1CC[NH2+]CCC1
ZINC00006559,NC(=O)c1cccc2c1nc([nH]2)C
ZINC00006562,Cc1ncccc1OC[C@@H]1CCC[NH2+]1
ZINC00006647,CCN(C(=O)Oc1nsnc1c1c(Cl)cccc1Cl)C
ZINC00006651,S=C(C(=O)[O-])Cc1ccc(cc1)I
ZINC00006694,Cc1onc(c1c1ccc(cc1)S(=O)(=O)N)c1ccccc1
ZINC00006785,NC(=O)N/N=C/c1ccc(cc1)Oc1ccc(cc1)F
ZINC00006787,Oc1ccc(cc1)/C=C/c1cc(O)cc(c1)O
ZINC00006788,Clc1ccc(cc1)C1(O)CC[NH+](CC1)Cc1c[nH]c2c1cccc2
ZINC00006892,c1ccc2c(c1)SCc1c2[nH]c2c1cccc2
ZINC00006923,CCOc1ccccc1O[C@@H](c1ccccc1)[C@H]1OCC[NH2+]C1
ZINC00006989,C[C@H](C1CCC(CC1)C(=O)Nc1ccncc1)[NH3+]
ZINC00007013,Clc1ccc(cn1)C1=CCC[C@H]2[NH2+][C@@H]1CC2
ZINC00007031,CCC(=O)NCC[C@H]1CCc2c1c1CCOc1cc2
ZINC00007037,c1ccc(cc1)c1cnc2c(n1)cc1c(c2)cccc1
ZINC00007042,C[C@H]([C@H](c1ccc(cc1)O)O)C[NH+]1CCC(CC1)Cc1ccccc1
ZINC00007253,Brc1ccc2c(c1)n1c(CO2)noc1=O
ZINC00007275,CC1CC[NH+](CC1)CC[C@H](N(S(=O)(=O)c1cccc(c1)C)C)C
ZINC00007280,COc1cc(/C=C\c2ccc(c(c2)N)OC)cc(c1OC)OC
ZINC00007301,Fc1ccc(cc1)c1nc[nH]c1c1ccncc1
ZINC00007335,[NH3+][C@H](C(=O)N1CCCC1)C(C)C
ZINC00007343,N
ZINC00007360,Fc1ccc(cc1)C(c1ccc(cc1)F)OC1C[C@@H]2CC[C@H](C1)[NH+]2C
ZINC00007382,Cc1ccc(cc1)CC1(O)CC[NH+](CC1)CCOc1ccc(cc1)O
ZINC00007453,COc1cc(N)nc2c1c(c1ccncc1)c([nH]2)c1ccc(cc1)F
ZINC00007455,O=C1OCC(=C1c1ccccc1)c1ccc(cc1)S(=O)(=O)C
ZINC00007459,CCC[NH+](C1Cc2c(C1)cc(c(c2)OC)OC)CCC
ZINC00007460,Clc1ccc(cc1)Nc1nnc(c2c1cccc2)Cc1ccncc1
ZINC00007489,COc1ccc2c(c1)ncn2c1ccccc1
ZINC00007601,OCc1cc(ccc1O)[C@H](C[NH2+]C(C)(C)C)O
ZINC00007673,COC[C@H](C(=O)NCc1ccccc1)NC(=O)C
ZINC00007724,Cc1ccc(cc1)Sc1cncc2c1cc(s2)C(=O)N
ZINC00007747,CCCC(=O)Nc1ccc(cc1)Oc1ccccc1OC
ZINC00007778,COc1cc(O)cc(c1Oc1cc(C)cc(c1C(=O)[O-])O)C(=O)OC
ZINC00007873,CCNc1sc2c(n1)c(C)c(c(c2C)O)Cc1cccnc1
ZINC00007874,CCNc1nc2c(s1)c(Cc1cccnc1)c(c(c2C)C)O
ZINC00007944,Fc1ccc(cc1)Cn1c(nc2c1cccc2)N1CC[NH2+]CC1
ZINC00007981,Clc1ccc(cc1)Oc1ccccc1C1=[NH+]CCN1
ZINC00008046,COc1cc(/C=C/C(=O)C)ccc1O
ZINC00008082,COc1cc2nc(cnc2cc1OC)c1ccccc1
ZINC00008089,Cc1noc(c1)[C@@H]1CCC[NH2+]1
ZINC00008090,Cc1noc(c1)[C@H]1CCC[NH2+]1
ZINC00008107,Cc1ccc2c(c1Sc1ccncc1)c(=O)[nH]c(n2)N
ZINC00008126,O=C1c2ccccc2[C@@]2(N1CCO2)c1ccccc1
ZINC00008252,COc1ccc2c(c1)c(CCNC(=O)C(F)(F)F)c[nH]2
ZINC00008253,COc1ccc2c(c1)c(CCNC(=O)C1CC1)c[nH]2
ZINC00008492,Oc1cccc2c1nccc2
ZINC00008508,Cc1nccn1Cc1ccncc1
ZINC00008558,Nc1ccc2c3c1cccc3c(=O)[nH]c2=O
ZINC00008600,FC([C@]1(C
ZINC00008667,[O-]C(=O)[C@@H](c1ccc(c(c1)F)c1ccccc1)C
ZINC00008732,Clc1ccc(cc1)NC(=O)c1ccccc1NCc1ccncc1
ZINC00008741,COc1cc2nc(NC3CCC(CC3)O)cnc2cc1OC
ZINC00008750,O=C(c1cc(O)c(c(c1)[N+](=O)[O-])[O-])Cc1ccccc1
ZINC00008765,CCOC(=O)c1cnc(c2c1cc(OC)cc2OC)C[NH3+]
ZINC00008767,CC1(CC1)NC1=NS(=O)(=O)c2c(N1)cc(s2)Cl
ZINC00008768,NC(=O)c1cnc2n1CCc1c(C32CC[NH2+]CC3)cccc1
ZINC00008795,Clc1ccc2c(c1)N1CC[NH2+]C[C@H]1C2
ZINC00008815,N
ZINC00008854,Nc1ccc(c(c1)Cl)Sc1ccc2c(c1Cl)cccc2
ZINC00008926,N
ZINC00008960,C[NH+](CC(=O)Nc1ccc2c(c1)c1ccccc1c(=O)[nH]2)C
ZINC00008977,N
ZINC00009064,[O-]C(=O)c1cc2cc(O)c(cc2c(n1)C(=O)c1ccc(c(c1)O)O)O
ZINC00009073,C[NH+]1CCc2c3[C@H]1Cc1ccc(c(c1c3ccc2)O)O
ZINC00009090,Clc1cc(NC(=O)c2cccnc2)c2c(c1)c1cc[nH+]cc1[nH]2
ZINC00009096,Oc1ccc2c(c1)n(nc2)C[C@@H]([NH3+])C
ZINC00009200,CNc1ccc(cc1)c1nc2c(s1)cccc2
ZINC00009252,COc1ccc(cc1)/C=C\c1cc(OC)cc(c1)OC
ZINC00009295,[O-]C(=O)c1ccc2c3c1cccc3c(=O)n1c2nc2c1cccc2
ZINC00009308,Oc1ccc(cc1)c1oc2c(n1)cc(cc2Br)O
ZINC00009342,OC1(CCCCC1)[C@@H](c1ccc(cc1)O)C[NH+](C)C
ZINC00009344,c1ccc(cc1)c1nccc(c1)c1c[nH]nc1c1ccccn1
ZINC00009350,Clc1ccc2c(c1)c(C1=CC[NH2+]CC1)c([nH]2)C
ZINC00009357,CCCC(=O)Nc1n[nH]c2c1cc(nc2)c1ccccc1
ZINC00009689,CC(C1CCC(CC1)C(=O)N[C@@H](C(=O)[O-])Cc1ccccc1)C
ZINC00009708,C1COC(=[NH+]1)NC(C1CC1)C1CC1
ZINC00009851,COc1cc2c(ncnc2cc1OC)Nc1ccc(cc1)O
